set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices
top,160611,2656,2745,6515,57155,782506,13147,28151,5323,3,3,0,1081,3,1,567.66,1,0,2,1,0,0,0,3
top,68281,2606,2726,6515,54427,761425,15820,27963,5315,3,3,0,1075,3,1,472.09,1,0,2,1,0,0,0,3
top,168169,2835,2954,10807,59787,766618,15707,27991,5371,3,3,0,1209,3,1,486.88,1,0,2,1,0,0,0,3
top,126130,2708,2821,6579,54323,800046,13055,30359,5315,3,3,0,1089,3,1,557.10,1,0,2,1,0,0,0,3
top,158917,2691,2804,6527,57159,758202,12911,40807,5271,3,3,0,1113,3,1,502.88,1,0,2,1,0,0,0,3
top,11750,2597,2738,6487,56707,754946,13183,31483,5251,3,3,0,1263,3,2,595.14,1,0,2,1,0,0,0,3
top,137845,2808,2884,6395,57543,814506,12783,40183,5379,3,3,0,1089,3,2,625.81,1,0,2,1,0,0,0,3
top,106305,2689,2807,6535,54144,771090,12795,40731,5423,3,3,0,1251,3,1,519.34,1,0,2,1,0,0,0,3
top,112721,2698,2815,6463,22495,820734,15551,29223,5423,3,3,0,2511,3,1,594.19,1,0,2,1,0,0,0,3
top,151631,2641,2759,6463,54679,769446,12715,32467,5447,3,3,0,1209,3,1,521.71,1,0,2,1,0,0,0,3
top,48271,2673,2785,6691,58967,794413,12747,24483,5375,3,3,0,1089,3,1,578.30,1,0,2,1,0,0,0,3
top,13622,2675,2785,6459,53655,787114,15435,26823,5359,3,3,0,1385,3,1,573.92,1,0,2,1,0,0,0,3
top,130957,2722,2893,6479,54635,774822,15555,30819,5319,3,3,0,1557,3,1,517.26,1,0,2,1,0,0,0,3
top,23145,2891,3015,6471,22734,835617,12899,28159,5327,3,3,0,2495,3,1,622.34,1,0,2,1,0,0,0,3
top,199172,2779,2905,6571,54411,823662,13003,30743,5327,3,3,0,1869,3,2,620.19,1,0,2,1,0,0,0,3
top,117865,2688,2819,6531,56167,736262,13227,33443,5371,3,3,0,2013,3,1,510.05,1,0,2,1,0,0,0,3
top,203995,2613,2732,6447,53895,750450,12683,37931,5291,3,3,0,1421,3,1,493.37,1,0,2,1,0,0,0,3
top,140973,2746,2863,6439,25043,840990,12627,30547,5355,3,3,0,2505,3,1,621.71,1,0,2,1,0,0,0,3
top,93055,2780,2892,7203,55575,805198,13103,30427,5271,3,3,0,1089,3,1,549.71,1,0,2,1,0,0,0,3
top,103201,2694,2806,6483,56711,777297,12847,34627,5343,3,3,0,1347,3,1,534.01,1,0,2,1,0,0,0,3
top,71032,2702,2859,6439,54224,793518,13136,30327,5391,3,3,0,1051,3,1,527.21,1,0,2,1,0,0,0,3
top,99285,2631,2728,6463,54487,773194,12603,30699,5343,3,3,0,1003,3,1,543.52,1,0,2,1,0,0,0,3
miss,187,2544,2636,6479,22459,766602,12959,24611,15603,3,3,0,1285,3,1,527.99,1,0,2,1,0,0,0,3
miss,709,2573,2663,6531,57271,736702,13071,32587,5275,3,3,0,1173,3,1,499.43,1,0,2,1,0,0,0,3
miss,877,2518,2651,11187,25835,722910,12956,31051,5363,3,3,0,1245,3,1,479.77,1,0,2,1,0,0,0,3
miss,1195,1914,2034,6475,1895,558386,12731,28035,5379,3,3,0,1967,3,2,454.42,1,0,2,1,0,0,0,2
miss,1291,2553,2670,6491,53651,730817,12723,38611,5307,3,3,0,1367,3,1,504.14,1,0,2,1,0,0,0,3
miss,3481,2875,3064,6555,54559,817638,13251,30640,5375,3,3,0,1095,3,1,609.33,1,0,2,1,0,0,0,3
miss,6608,2740,2863,6487,22975,850202,12747,27639,5363,3,3,0,2495,3,2,660.13,1,0,2,1,0,0,0,3
miss,6956,2657,2773,6483,57112,781374,12783,29840,5259,3,3,0,1083,3,1,542.27,1,0,2,1,0,0,0,3
miss,8012,2570,2736,6475,57059,750809,12639,25295,5339,3,3,0,1109,3,1,499.72,1,0,2,1,0,0,0,3
miss,8301,2632,2733,6479,53695,757454,15690,33059,5271,3,3,0,1421,3,1,470.94,1,0,2,1,0,0,0,3
miss,8995,2418,2507,6603,54727,679322,16131,29863,5287,3,3,0,953,3,2,451.38,1,0,2,1,0,0,0,3
miss,9704,2659,2776,6503,55579,763534,12699,36103,5263,3,3,0,1025,3,1,547.57,1,0,2,1,0,0,0,3
miss,9985,2592,2716,10059,61451,718721,12791,30924,5347,3,3,0,1359,3,1,501.18,1,0,2,1,0,0,0,3
miss,10522,2550,2675,6551,56351,725358,12964,29610,5334,3,3,0,1229,3,1,502.12,1,0,2,1,0,0,0,3
miss,10810,2441,2533,6571,53795,680042,18439,28444,5327,3,3,0,1071,3,1,477.83,1,0,2,1,0,0,0,3
miss,11329,2391,2489,6499,1907,730962,12779,28203,5383,3,3,0,1623,3,1,531.53,1,0,2,1,0,0,0,3
miss,11750,2597,2738,6487,56707,754946,13183,31483,5251,3,3,0,1263,3,2,595.14,1,0,2,1,0,0,0,3
miss,12451,2524,2643,6527,54431,731713,12739,27211,5315,3,3,0,1051,3,1,540.69,1,0,2,1,0,0,0,3
miss,13622,2675,2785,6459,53655,787114,15435,26823,5359,3,3,0,1385,3,1,573.92,1,0,2,1,0,0,0,3
miss,15061,2601,2710,6491,1927,794762,12767,38811,5395,3,3,0,1629,3,1,557.64,1,0,2,1,0,0,0,3
miss,15679,2103,2196,6415,1883,608270,12667,33487,10151,4,4,0,1408,4,2,445.50,1,1,2,1,0,0,0,4
miss,15821,2294,2412,6511,1859,695070,12815,27179,5407,2,2,0,1514,2,1,467.28,1,0,2,1,0,0,0,2
miss,15896,2445,2565,6523,54467,694402,13163,30399,6875,3,3,0,1063,3,1,442.19,1,0,2,1,0,0,0,3
miss,16725,2490,2609,6435,22699,748046,15535,27887,5375,3,3,0,1285,3,1,524.00,1,0,2,1,0,0,0,3
miss,17246,2521,2645,10735,54975,725658,13056,27971,5355,3,3,0,1173,3,1,478.24,1,0,2,1,0,0,0,3
miss,17414,2359,2466,6462,24807,686262,12939,33547,5343,3,3,0,1211,3,1,462.66,1,0,2,1,0,0,0,3
miss,17732,1645,1751,6487,1899,461793,12767,27967,5291,2,2,0,1580,2,2,357.54,1,0,2,1,0,0,0,2
miss,17827,2442,2548,6503,53723,697674,15399,27199,5322,3,3,0,1367,3,1,497.53,1,0,2,1,0,0,0,3
miss,20017,2784,2897,6451,54739,822994,13055,35674,5315,3,3,0,1093,3,2,621.56,1,0,2,1,0,0,0,3
miss,23145,2891,3015,6471,22734,835617,12899,28159,5327,3,3,0,2495,3,1,622.34,1,0,2,1,0,0,0,3
miss,23492,2668,2770,6439,54231,784462,12739,35619,5355,3,3,0,1081,3,1,534.42,1,0,2,1,0,0,0,3
miss,24550,2524,2657,8063,57671,722314,15603,26803,5311,3,3,0,1113,3,1,490.95,1,0,2,1,0,0,0,3
miss,24841,2560,2680,6479,54247,736398,12695,27859,5451,3,3,0,1419,3,1,473.92,1,0,2,1,0,0,0,3
miss,25532,2554,2710,6491,54539,713074,15775,32423,5295,3,3,0,1819,3,2,475.98,1,0,2,1,0,0,0,3
miss,26241,2758,2900,6499,57536,803117,12718,38255,5360,3,3,0,1025,3,1,596.86,1,0,2,1,0,0,0,3
miss,26522,2639,2758,6391,53423,760826,12695,38931,5359,3,3,0,1389,3,2,556.73,1,0,2,1,0,0,0,3
miss,27061,2601,2725,6451,56611,746138,13255,32627,5271,3,3,0,1249,3,1,503.75,1,0,2,1,0,0,0,3
miss,27349,2553,2628,6539,62179,726598,12707,27991,5343,3,3,0,1071,3,1,490.73,1,0,2,1,0,0,0,3
miss,27866,2434,2570,6391,1931,749494,12723,35783,5399,3,3,0,1623,3,1,495.54,1,0,2,1,0,0,0,3
miss,28286,2553,2670,6395,53987,743874,13060,27027,5295,3,3,0,1263,3,2,535.94,1,0,2,1,0,0,0,3
miss,28987,2539,2666,6395,54367,739526,12891,27183,5415,3,3,0,1073,3,1,490.49,1,0,2,1,0,0,0,3
miss,30160,2682,2801,6411,54659,788842,12647,24443,5379,3,3,0,1377,3,1,542.69,1,0,2,1,0,0,0,3
miss,31597,2575,2715,6507,1919,783562,12702,38339,5247,3,3,0,1599,3,1,560.66,1,0,2,1,0,0,0,3
miss,32215,1711,1811,10643,4579,479774,12783,27503,5315,3,3,0,1689,3,1,329.34,1,0,2,1,0,0,0,3
miss,32360,2373,2520,6415,1899,723490,12827,29903,10879,3,3,0,2271,3,1,468.39,1,0,2,1,0,0,0,3
miss,32432,2499,2616,6503,54740,722598,13243,33959,5363,4,4,0,1414,4,1,439.31,1,0,2,1,0,0,0,4
miss,33261,2639,2771,6387,22911,793326,12763,35771,5322,3,3,0,1287,3,1,536.55,1,0,2,1,0,0,0,3
miss,33783,2526,2661,6495,54455,735750,13079,29252,5487,3,3,0,1173,3,1,507.52,1,0,2,1,0,0,0,3
miss,33951,2347,2494,6455,22891,695086,13027,31355,5347,3,3,0,1217,3,1,491.66,1,0,2,1,0,0,0,3
miss,34270,1855,1972,6447,1923,537638,12795,28583,5295,3,3,0,1967,3,2,414.22,1,0,2,1,0,0,0,2
miss,34365,2509,2636,6439,56700,715406,12863,35543,5383,3,3,0,1367,3,1,537.02,1,0,2,1,0,0,0,3
miss,36554,2742,2869,10539,54839,798938,13111,30303,5339,3,3,0,1093,3,2,608.81,1,0,2,1,0,0,0,3
miss,39682,2677,2810,6527,22519,829798,12711,24983,5407,3,3,0,2495,3,1,580.86,1,0,2,1,0,0,0,3
miss,40031,2641,2753,6503,54483,774702,12927,27335,5311,3,3,0,1083,3,1,493.24,1,0,2,1,0,0,0,3
miss,41089,2569,2688,6439,54395,751738,12622,29811,5459,3,3,0,1113,3,1,530.81,1,0,2,1,0,0,0,3
miss,41377,2585,2696,6483,54379,754018,12555,24883,5315,3,3,0,1419,3,1,500.38,1,0,2,1,0,0,0,3
miss,42070,2493,2619,6547,54727,698154,15983,33039,5379,3,3,0,953,3,1,453.28,1,0,2,1,0,0,0,3
miss,43311,2512,2654,6431,1907,778025,12671,32831,5315,2,2,0,1082,2,1,542.33,1,0,2,1,0,0,0,2
miss,43931,1735,1852,6387,1891,499990,15623,27311,5395,3,3,0,1049,3,2,379.68,1,0,2,1,0,0,0,3
miss,44072,2410,2506,11355,1916,722942,12738,30331,5443,2,2,0,1510,2,1,466.54,1,1,2,1,0,0,0,2
miss,44149,2345,2459,6407,60008,654434,15611,30598,5323,3,3,0,1069,3,1,440.14,1,0,2,1,0,0,0,3
miss,44978,2574,2700,6503,42720,761322,13096,27834,5340,3,3,0,1273,3,1,516.58,1,0,2,1,0,0,0,3
miss,45499,2455,2562,6475,54419,704878,12618,27242,5378,3,3,0,1283,3,1,423.84,1,0,2,1,0,0,0,3
miss,45667,2326,2469,6471,23127,682606,15623,29720,7427,3,3,0,1201,3,1,419.31,1,0,2,1,0,0,0,3
miss,46081,2473,2607,6555,56015,707066,12651,27051,5415,2,2,0,938,2,1,393.73,1,0,2,1,0,0,0,2
miss,48271,2673,2785,6691,58967,794413,12747,24483,5375,3,3,0,1089,3,1,578.30,1,0,2,1,0,0,0,3
miss,51398,2721,2855,6547,26443,839249,12595,25003,5423,3,3,0,2487,3,2,634.89,1,0,2,1,0,0,0,3
miss,51741,2675,2796,6435,54383,774358,13243,35075,5427,3,3,0,1073,3,1,548.53,1,0,2,1,0,0,0,3
miss,52621,1973,2102,6479,1931,573938,12711,35931,5303,2,2,0,546,2,1,366.63,1,0,2,1,0,0,0,2
miss,52657,2327,2433,6455,1875,710026,12647,25591,8147,4,4,0,3412,4,2,523.38,1,1,2,1,0,0,0,3
miss,52688,1871,1969,6483,1899,547726,12759,28699,5359,3,3,0,2303,3,2,463.84,1,0,2,1,0,0,0,3
miss,52802,2513,2641,6527,57315,720378,12759,32855,5427,3,3,0,1109,3,1,487.08,1,0,2,1,0,0,0,3
miss,53091,2702,2822,9183,57131,778818,13100,36043,5315,3,3,0,1423,3,1,565.26,1,0,2,1,0,0,0,3
miss,53782,2545,2663,6435,54455,726850,12799,32811,5439,4,4,0,1268,4,1,446.44,1,0,2,1,0,0,0,4
miss,54495,2595,2694,6435,54567,767558,13284,27587,5435,3,3,0,1079,3,1,528.64,1,0,2,1,0,0,0,3
miss,54769,2451,2586,6475,53867,695078,13007,32599,7915,3,3,0,1429,3,1,452.56,1,0,2,1,0,0,0,2
miss,55311,2638,2757,6475,53831,772054,15407,29387,5339,3,3,0,1211,3,1,520.84,1,0,2,1,0,0,0,3
miss,55597,2474,2627,10951,40695,708362,12731,29532,5435,3,3,0,1097,3,1,471.23,1,0,2,1,0,0,0,3
miss,55849,1461,1571,10531,56041,224603,13103,33783,5471,1,1,0,431,1,0,34.08,0,0,2,0,0,0,0,4
miss,56119,2401,2513,6439,1875,739730,12695,30643,5347,3,3,0,1589,3,1,501.28,1,0,2,1,0,0,0,3
miss,56539,2696,2805,6527,56243,781262,12675,32706,5335,3,3,0,1261,3,2,542.29,1,0,2,1,0,0,0,3
miss,57241,2689,2827,7831,54775,769478,13167,29395,5271,3,3,0,1119,3,1,539.17,1,0,2,1,0,0,0,3
miss,58413,2707,2818,6487,53715,787038,12831,33867,5355,3,3,0,1381,3,1,525.23,1,0,2,1,0,0,0,3
miss,59851,2598,2709,6419,1919,816909,12769,28612,5431,3,3,0,1629,3,1,556.48,1,0,2,1,0,0,0,3
miss,60469,1905,2032,6451,1895,560934,12711,27267,8335,3,3,0,1049,3,2,349.17,1,0,2,1,0,0,0,3
miss,60610,2589,2701,13067,1871,780978,12735,33159,5363,3,3,0,2437,3,2,568.69,1,0,2,1,0,0,0,3
miss,60685,2418,2605,10892,57126,670266,12688,29739,7475,3,3,0,1067,3,1,483.74,1,0,2,1,0,0,0,3
miss,61514,2502,2576,8871,22803,731686,12934,30115,5359,3,3,0,1305,3,1,476.23,1,0,2,1,0,0,0,3
miss,62036,2609,2747,6495,59927,741062,17919,30199,5363,3,3,0,1283,3,1,482.74,1,0,2,1,0,0,0,3
miss,62205,2393,2521,6619,23707,706185,15419,32851,5287,3,3,0,1201,3,1,467.29,1,0,2,1,0,0,0,3
miss,62617,2491,2624,10791,53815,711990,12846,29959,5315,2,2,0,938,2,1,448.14,1,0,2,1,0,0,0,2
miss,64807,2794,2869,6479,57231,820126,12679,35963,5419,3,3,0,1087,3,2,608.42,1,0,2,1,0,0,0,3
miss,67935,2678,2799,6475,23083,826962,12943,27976,5455,3,3,0,2487,3,1,580.15,1,0,2,1,0,0,0,3
miss,68281,2606,2726,6515,54427,761425,15820,27963,5315,3,3,0,1075,3,1,472.09,1,0,2,1,0,0,0,3
miss,69157,2112,2237,8863,1895,598798,13151,33795,10755,3,3,0,819,3,1,366.71,1,0,2,1,0,0,0,3
miss,69195,1946,2071,6431,1911,574674,12702,26156,5435,3,3,0,2345,3,1,359.80,1,1,2,1,0,0,0,3
miss,69224,1762,1872,8323,1883,501974,12723,25159,5467,3,3,0,3147,3,1,312.35,1,0,2,1,0,0,0,3
miss,69341,2586,2693,6427,54447,738234,12915,35355,5291,3,3,0,1113,3,1,478.06,1,0,2,1,0,0,0,3
miss,69632,2610,2753,6427,57223,747582,16023,33388,5415,3,3,0,1419,3,1,523.08,1,0,2,1,0,0,0,3
miss,70321,2506,2624,6507,57384,698442,12711,30068,5363,3,3,0,951,3,2,492.94,1,0,2,1,0,0,0,3
miss,71032,2702,2859,6439,54224,793518,13136,30327,5391,3,3,0,1051,3,1,527.21,1,0,2,1,0,0,0,3
miss,71305,2517,2628,6503,56495,718262,12691,35416,5347,3,3,0,1499,3,2,500.03,1,0,2,1,0,0,0,3
miss,71851,2563,2697,6500,56326,718129,12767,40263,10747,3,3,0,1245,3,1,488.13,1,0,2,1,0,0,0,3
miss,72135,2437,2563,6551,53795,695338,12803,30203,8051,3,3,0,1097,3,1,461.63,1,0,2,1,0,0,0,3
miss,72656,2367,2495,6463,1835,730922,12851,24395,5347,3,3,0,1589,3,1,474.16,1,0,2,1,0,0,0,3
miss,73075,2646,2784,6454,53935,761442,12647,30067,7979,3,3,0,2013,3,1,511.17,1,0,2,1,0,0,0,3
miss,73778,2524,2624,6435,54291,729694,13007,27343,5267,3,3,0,1095,3,1,498.04,1,0,2,1,0,0,0,3
miss,74950,2811,2910,14087,53979,812802,12746,32675,5255,3,3,0,1373,3,1,558.06,1,0,2,1,0,0,0,3
miss,76387,2586,2709,6403,1895,811086,12727,29515,5287,3,3,0,1629,3,1,574.37,1,0,2,1,0,0,0,3
miss,77005,1772,1896,9179,1899,503990,13011,33039,5403,3,3,0,1051,3,2,282.62,1,0,2,1,0,0,0,3
miss,77149,2589,2723,23027,8463,770934,12739,30619,5455,3,3,0,2265,3,1,562.33,1,0,2,1,0,0,0,2
miss,77223,2354,2471,6451,54531,663730,12791,27663,5367,3,3,0,1067,3,1,417.18,1,0,2,1,0,0,0,3
miss,78051,2609,2741,9187,27948,780554,12963,33024,5414,3,3,0,1279,3,1,582.42,1,0,2,1,0,0,0,3
miss,78572,2646,2791,6455,58235,766690,12683,30228,5427,3,3,0,1203,3,1,523.00,1,0,2,1,0,0,0,3
miss,78742,2258,2391,6543,23131,670949,12790,23487,5380,3,3,0,1201,3,1,446.28,1,0,2,1,0,0,0,3
miss,79154,2425,2550,11691,53844,677518,12791,33871,5399,2,2,0,926,2,1,486.71,1,0,2,1,0,0,0,2
miss,81344,2676,2801,9219,57355,792486,12759,24359,5411,3,3,0,1087,3,2,601.18,1,0,2,1,0,0,0,3
