set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices,psola_sched_cycles,psola_addgrain_cycles,psola_deferred_cycles,psola_mark_cycles,psola_desc_cycles,psola_near_cycles,psola_poly_cycles,psola_gn_cycles
top,3479,2583,3441,6371,64964,736795,14762,35995,8139,3,3,0,1091,3,1,531.25,1,0,2,1,0,0,0,3,357188,302570,120150,27240,10443,48814,3011,23464
top,123360,2505,3039,9083,54539,724477,12979,24715,7727,3,3,0,1203,3,1,523.00,1,0,2,1,0,0,0,3,366738,311464,117387,35115,10439,41881,3409,23438
top,182633,2625,3508,7211,56572,759393,13015,25651,5394,3,3,0,1089,3,2,581.87,1,0,2,1,0,0,0,3,379140,324080,114917,27136,10833,42675,3313,41732
top,170918,2531,3386,6379,54179,748657,12691,23675,5371,3,3,0,1089,3,1,538.58,1,0,2,1,0,0,0,3,381778,318755,112079,27104,10420,41936,4198,29502
top,195879,2583,3372,6411,22895,718869,18459,27315,5411,3,3,0,1279,3,1,517.41,1,0,2,1,0,0,0,3,344246,292239,134401,28986,11578,41716,3052,25928
top,6953,2502,3292,6419,54327,720261,12899,27595,5423,3,3,0,1083,3,1,525.82,1,0,2,1,0,0,0,3,346588,294236,117910,21586,10818,44462,3010,23444
top,55310,2554,3254,6487,53495,743816,12738,24751,5571,3,3,0,1227,3,1,541.66,1,0,2,1,0,0,0,3,357306,301892,111198,24870,10391,42321,4099,31428
top,58410,2490,3268,6379,61583,710827,12799,29599,5359,3,3,0,1373,3,1,501.66,1,0,2,1,0,0,0,3,343958,288577,119743,24285,10393,39104,3031,23052
top,48270,2569,3293,6375,57196,749068,12686,27223,5478,3,3,0,1085,3,2,575.86,1,0,2,1,0,0,0,3,381688,323730,122135,27361,10431,46223,3274,42334
top,16723,2484,3225,6403,22891,739057,12779,29719,10362,3,3,0,1285,3,1,526.13,1,0,2,1,0,0,0,3,348368,298678,131377,21982,11558,41985,2993,26158
top,192779,2510,3334,6427,59195,717105,12643,27907,7727,3,3,0,1391,3,1,509.00,1,0,2,1,0,0,0,3,349458,294825,121868,24410,10429,41492,3379,23235
top,142380,2466,3157,6391,54475,714875,12750,28614,5342,3,3,0,1113,3,1,506.69,1,0,2,1,0,0,0,3,345488,285165,113565,24372,8881,46892,3040,20506
top,189965,2466,3239,10731,53783,702633,12711,25598,5359,3,3,0,1077,3,1,518.49,1,0,2,1,0,0,0,3,341284,291863,110303,27184,8870,42186,2999,25552
