set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices,psola_sched_cycles,psola_addgrain_cycles,psola_deferred_cycles,psola_mark_cycles,psola_desc_cycles,psola_near_cycles,psola_poly_cycles,psola_gn_cycles
top,8994,2441,2598,6591,53999,699598,13115,25927,5327,3,3,0,1817,3,1,497.75,1,0,2,1,0,0,0,3,371797,323312,114069,88147,11510,25206,20354,43859
top,40029,2608,2830,6431,54823,761690,12815,27963,5355,3,3,0,1083,3,1,562.90,1,0,2,1,0,0,0,3,405727,349595,111991,83666,11549,28605,12213,60017
top,24661,1308,1428,8380,59880,262882,12627,28075,5360,1,1,0,317,1,1,104.16,1,0,2,0,0,0,0,4,103691,98319,47167,46645,296,2464,289,19688
top,34364,2502,2635,6431,53131,715002,12711,30647,5411,3,3,0,1367,3,1,474.09,1,0,2,1,0,0,0,3,388487,338660,112781,99057,11594,26194,13796,49137
top,24840,2543,2621,10595,58943,733782,12747,24923,5455,3,3,0,1413,3,1,487.48,1,0,2,1,0,0,0,3,390887,334071,123993,83290,7387,20253,14932,43989
top,41376,2525,2717,6435,53763,726190,15623,26400,5291,3,3,0,1419,3,1,480.00,1,0,2,1,0,0,0,3,378303,326211,108367,85477,11552,23077,12188,43725
top,32680,1293,1393,6475,55871,230296,12710,25415,5371,1,1,0,465,1,0,20.44,0,1,2,1,0,0,0,4,80389,57811,42425,31125,4110,2548,0,0
top,34536,1325,1473,6463,56603,242654,12639,25055,5447,1,1,0,425,1,1,84.35,1,0,2,0,0,0,0,4,90057,79411,45891,33455,4358,2551,305,16557
top,33320,1353,1508,13547,53155,236866,12910,31435,5451,1,1,0,427,1,1,158.72,1,0,2,0,0,0,0,4,101475,80017,37003,16645,320,2545,3003,30951
top,23173,1301,1438,8811,69483,274566,12620,24547,5286,1,1,0,807,1,1,238.91,1,0,2,0,0,0,0,4,137135,114695,36407,16051,2974,2934,4126,29886
top,30632,1371,1499,7563,54819,249918,12635,25391,5383,1,1,0,421,1,1,152.27,1,0,2,0,0,0,0,4,124519,116415,35181,45399,308,2607,301,24761
top,20214,1314,1464,6538,56816,255658,13199,28103,5427,1,1,0,327,1,0,56.08,0,0,2,0,0,0,0,4,66557,58401,46065,19631,1466,3190,0,0
top,3752,1325,1458,6459,53083,236406,12731,25167,5398,1,1,0,321,1,1,156.43,1,0,2,0,0,0,0,4,104117,90815,34653,25741,318,2538,1426,22144
top,27060,2688,2881,6507,55827,759866,15627,24779,5371,3,3,0,1143,3,1,528.98,1,0,2,1,0,0,0,3,403539,343943,122321,88376,12147,27616,11102,51535
top,33950,2346,2502,6543,21907,690634,12919,24907,5323,3,3,0,1217,3,1,446.35,1,0,2,1,0,0,0,3,360671,316876,103997,88473,8995,19119,14987,38288
top,36554,2777,2911,6527,53895,828122,13035,30407,5423,3,3,0,1093,3,2,671.26,1,0,2,1,0,0,0,3,474821,414981,121723,98480,11594,32339,20922,85848
top,28284,2624,2770,6487,56387,765850,12999,24807,5343,3,3,0,2013,3,1,567.53,1,0,2,1,0,0,0,3,426721,373447,110083,91997,11531,21926,20398,60341
top,15406,1335,1469,6463,53931,298950,12651,25691,11095,1,1,0,415,1,1,178.82,1,0,2,0,0,0,0,4,151217,125965,49295,48597,298,2530,305,27681
top,1924,1320,1479,14715,66972,265478,12651,25540,5376,1,1,0,421,1,1,217.80,1,0,2,0,0,0,0,3,115377,106227,32937,14907,300,3332,4093,27428
top,32431,2424,2586,6663,56663,694338,13091,27507,5443,4,4,0,1414,4,1,456.26,1,0,2,1,0,0,0,4,361959,312607,107137,87784,11822,17206,12219,49088
top,25019,1358,1517,6431,58691,208107,15320,76995,9791,0,0,0,0,0,0,0.00,0,0,2,0,0,0,0,3,73537,55695,41356,41528,0,0,0,0
top,41377,1741,1921,9179,59591,403972,18187,30655,9795,0,0,0,0,0,0,0.00,0,0,2,1,0,0,0,3,5075,0,44769,0,0,0,0,0
top,7208,1384,1518,6463,57228,234954,12699,44631,5355,1,1,0,321,1,1,209.38,1,0,2,0,0,0,0,4,99025,88208,35713,6882,2878,2439,9684,19630
top,876,2389,2508,6479,22323,714526,13016,24791,5327,3,3,0,1211,3,1,527.72,1,0,2,1,0,0,0,3,382101,335819,98811,77719,11533,29300,16545,54416
top,9064,1302,1441,12675,68822,198400,13035,25807,13343,1,1,0,323,1,0,52.75,0,0,2,0,0,0,0,4,49865,36595,34413,12259,274,7268,0,0
top,8580,1316,1465,12118,83007,239055,15447,27567,5403,1,1,0,427,1,0,44.67,0,0,2,0,0,0,0,4,90627,77153,40715,39317,274,3202,0,0
top,6632,1377,1510,6431,55843,248578,20706,24610,10794,1,1,0,807,1,1,163.12,1,0,2,0,0,0,0,3,121173,107855,31526,35181,3952,2460,1403,27396
top,3480,2808,2968,6427,53883,828582,13143,30667,5399,3,3,0,1091,3,1,590.06,1,0,2,1,0,0,0,3,443823,381393,131795,87909,11540,38254,20353,54722
top,10520,2561,2717,6531,56103,744962,12955,28443,5415,3,3,0,1209,3,1,564.16,1,0,2,1,0,0,0,3,420061,364375,113295,96557,11685,28469,19527,54928
top,8304,1307,1382,6575,59567,263596,12647,49775,5267,1,1,0,473,1,0,31.06,0,0,2,1,0,0,0,4,87065,61875,36677,38614,360,4845,0,0
top,15895,2349,2506,6571,53959,668174,13060,27211,5403,3,3,0,1063,3,1,451.95,1,0,2,1,0,0,0,3,343471,298548,114657,72201,7317,23677,12269,35875
top,23143,2674,2830,6459,27235,790386,12679,26087,8131,3,3,0,2495,3,1,605.15,1,0,2,1,0,0,0,3,436355,382234,118577,87735,11550,33188,16881,65171
