set,block,ordinal,source_center,destination_center,half,model_timestamp,model_order,lambda_bits,gamma_bits,sample_rate_bits,norm_strategy,cache_path,local_difference,shared_difference,addgrain_cycles,select_cycles,model_near_cycles,cache_lookup_cycles,polynomial_cycles,gain_cycles
top,28986,0,1986236,1987575,182,1986943,16,0,1065101558,1194083328,2,4,10,10,284347,46380,3205,16302,14126,48020
top,28986,1,1986236,1987696,182,1986943,16,0,1065101558,1194083328,2,1,0,0,30845,5891,1352,1776,0,0
top,28986,2,1986407,1987816,171,1986943,16,0,1065101558,1194083328,2,1,0,0,10631,5558,1286,199,0,0
top,25531,0,1765004,1766444,591,1764991,16,0,1065101558,1194083328,2,4,10,10,270435,44491,6133,12438,11017,45405
top,25531,1,1765162,1766549,159,1764991,16,0,1065101558,1194083328,2,1,0,0,30822,4162,2978,1777,0,0
top,25531,2,1765321,1766654,158,1765375,16,0,1065101558,1194083328,2,4,10,10,28076,3884,2228,93,309,16011
top,39681,0,2670450,2672007,412,2670847,16,0,1065101558,1194083328,2,4,10,10,327165,52469,5083,16328,16667,56004
top,39681,1,2670867,2672283,417,2670847,16,0,1065101558,1194083328,2,1,0,0,29322,2394,2104,1778,0,0
top,39681,2,2670867,2672559,417,2670847,16,0,1065101558,1194083328,2,1,0,0,7772,2076,1984,214,0,0
top,31596,0,2153110,2154619,266,2153599,16,0,1065101558,1194083328,2,4,10,10,310173,48395,5987,12500,16438,50630
top,31596,1,2153110,2154801,266,2153599,16,0,1065101558,1194083328,2,1,0,0,28172,2267,2086,1774,0,0
top,31596,2,2153110,2154983,266,2153599,16,0,1065101558,1194083328,2,1,0,0,10414,2034,1964,220,0,0
top,708,0,176395,177749,194,176767,16,0,1065101558,1194083328,2,4,10,10,315273,49361,5085,12445,13722,50830
top,708,1,176395,177882,194,176767,16,0,1065101558,1194083328,2,1,0,0,29360,3433,2060,1778,0,0
top,708,2,176592,178016,197,176767,16,0,1065101558,1194083328,2,1,0,0,8918,3070,1982,198,0,0
top,32431,0,2206604,2208015,175,2207359,16,0,1065101558,1194083328,2,4,10,10,257777,46192,4827,12491,7230,52038
top,32431,1,2206782,2208132,177,2207359,16,0,1065101558,1194083328,2,1,0,0,28874,8567,1582,234,0,0
top,32431,2,2206782,2208249,177,2207359,16,0,1065101558,1194083328,2,1,0,0,8642,2944,1497,210,0,0
top,32431,3,2206958,2208366,176,2207359,16,0,1065101558,1194083328,2,1,0,0,8086,2954,1483,193,0,0
top,6607,0,553650,555207,412,553855,16,0,1065101558,1194083328,2,4,10,10,331169,51343,4841,12460,17673,58794
top,6607,1,554067,555483,417,554239,16,0,1065101558,1194083328,2,4,10,10,31766,2320,2091,91,276,18774
top,6607,2,554067,555759,417,554239,16,0,1065101558,1194083328,2,1,0,0,27228,2344,2112,1781,0,0
top,16724,0,1201463,1202796,215,1202047,16,0,1065101558,1194083328,2,4,10,10,302751,48879,4417,16292,12228,52313
top,16724,1,1201463,1202937,215,1202047,16,0,1065101558,1194083328,2,1,0,0,28406,3060,1364,1775,0,0
top,16724,2,1201674,1203079,211,1202047,16,0,1065101558,1194083328,2,1,0,0,17410,2726,3478,224,0,0
top,10809,0,822942,824301,178,823423,16,0,1065101558,1194083328,2,4,10,10,278883,49659,4693,15149,7213,47858
top,10809,1,822942,824428,178,823423,16,0,1065101558,1194083328,2,1,0,0,28522,3908,1542,1776,0,0
top,10809,2,823120,824554,178,823423,16,0,1065101558,1194083328,2,1,0,0,8508,3527,1428,203,0,0
top,26522,0,1828606,1829927,233,1829119,16,0,1065101558,1194083328,2,4,10,10,299025,49900,4662,12464,15540,47966
top,26522,1,1828606,1830078,233,1829119,16,0,1065101558,1194083328,2,1,0,0,34335,11628,1694,1774,0,0
top,26522,2,1828830,1830230,224,1829119,16,0,1065101558,1194083328,2,1,0,0,9064,3814,1566,202,0,0
top,41088,0,2760709,2762057,185,2761087,16,0,1065101558,1194083328,2,4,10,10,302021,46167,5402,12460,14011,53525
top,41088,1,2760709,2762179,185,2761087,16,0,1065101558,1194083328,2,1,0,0,29155,3018,2077,1765,0,0
top,41088,2,2760894,2762301,185,2761087,16,0,1065101558,1194083328,2,1,0,0,11602,5407,1960,206,0,0
top,17731,0,1265804,1267326,573,1265791,16,0,1065101558,1194083328,2,4,10,10,187491,33772,3272,12432,4547,29145
top,17731,1,1266043,1267471,216,1266175,16,0,1065101558,1194083328,2,4,10,10,29115,4080,2400,93,305,16209
