set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices
miss,152195,2303,2398,6483,56699,640454,12847,35591,5419,3,3,0,1391,3,1,420.57,1,0,2,1,0,0,0,3
miss,154381,2743,2854,6495,54455,800582,12674,32867,5411,3,3,0,1089,3,1,592.14,1,0,2,1,0,0,0,3
miss,157509,2777,2859,6355,22339,814612,12762,42943,7702,3,3,0,2505,3,1,574.59,1,0,2,1,0,0,0,3
miss,157859,2668,2804,13366,67505,732278,13342,51751,5319,3,3,0,1065,3,1,463.08,1,0,2,1,0,0,0,3
miss,158915,2570,2687,6511,54459,738010,12923,38020,5271,3,3,0,1113,3,1,558.62,1,0,2,1,0,0,0,3
miss,159204,2528,2631,6435,53853,717582,13236,42809,5195,3,3,0,1423,3,1,464.85,1,0,2,1,0,0,0,3
miss,159899,2596,2739,6511,54551,736714,12871,37384,5395,3,3,0,953,3,2,545.86,1,0,2,1,0,0,0,3
miss,159911,1492,1610,6503,76149,203927,19463,56819,6291,1,1,0,315,1,0,18.54,0,0,2,1,0,0,0,4
miss,160609,2712,2837,8247,60139,784169,13240,37792,5315,3,3,0,1017,3,1,559.42,1,0,2,1,0,0,0,3
miss,160890,2545,2684,6387,54425,724782,12759,36703,5307,3,3,0,1405,3,2,604.73,1,1,2,1,0,0,0,2
miss,161423,2503,2577,6415,53844,707958,13155,35168,5271,3,3,0,1133,3,1,510.16,1,0,2,1,0,0,0,2
miss,161447,1510,1635,6379,65323,235838,12799,28044,8511,1,1,0,439,1,1,79.54,1,0,2,1,0,0,0,4
miss,161575,1462,1560,6479,75463,259522,12755,24919,5415,1,1,0,473,1,1,133.96,1,0,2,0,0,0,0,4
miss,161713,2445,2570,6439,53663,700970,12959,27231,5339,3,3,0,1081,3,1,450.69,1,0,2,1,0,0,0,3
miss,162230,2287,2414,6463,1911,701810,12875,27503,5355,3,3,0,1495,3,1,463.15,1,0,2,1,0,0,0,3
miss,162638,2475,2651,6419,53647,695222,12787,27588,5211,3,3,0,1213,3,1,514.03,1,0,2,1,0,0,0,3
miss,163350,2587,2700,6555,57321,742414,13076,38075,5387,3,3,0,1063,3,1,521.01,1,0,2,1,0,0,0,3
miss,164526,2575,2694,6487,56649,753446,12742,28039,5267,3,3,0,1379,3,1,543.47,1,0,2,1,0,0,0,3
miss,165961,2494,2614,6479,1964,785213,12831,24857,5239,3,3,0,1639,3,1,565.43,1,0,2,1,0,0,0,3
miss,166238,2317,2422,11399,67580,588633,13003,46554,8011,3,3,0,2119,3,2,440.39,1,0,2,1,0,0,0,3
miss,166580,1825,1948,6399,1895,516178,12771,38397,8079,3,3,0,1071,3,2,308.94,1,0,2,1,0,0,0,3
miss,166723,2368,2517,6415,1863,731282,12807,26141,5363,3,3,0,2277,3,1,535.05,1,0,2,1,0,0,0,2
miss,166799,2491,2625,8506,55849,680794,12947,49523,5339,3,3,0,1077,3,1,464.92,1,0,2,1,0,0,0,3
miss,167069,2201,2313,11114,74903,557578,12767,31999,5263,3,3,0,1389,3,1,422.35,1,0,2,1,0,0,0,3
miss,167630,2608,2733,6403,53803,759178,13114,33447,5359,3,3,0,1195,3,1,497.77,1,0,2,1,0,0,0,3
miss,168167,2812,2938,6423,54373,774678,12947,31765,5379,3,3,0,1209,3,2,564.12,1,0,2,1,0,0,0,3
miss,168317,2361,2480,6551,25637,689006,12691,30389,5387,3,3,0,1269,3,1,458.33,1,0,2,1,0,0,0,3
