set,block,ordinal,source_center,destination_center,half,model_timestamp,model_order,lambda_bits,gamma_bits,sample_rate_bits,norm_strategy,cache_path,local_difference,shared_difference,addgrain_cycles,select_cycles,model_near_cycles,cache_lookup_cycles,polynomial_cycles,gain_cycles
top,3480,0,353746,355219,182,353791,16,0,1065101558,1194083328,2,4,10,10,304008,50615,34716,13612,322,25216
top,3480,1,353927,355339,181,353791,16,0,1065101558,1194083328,2,1,0,0,30939,5107,2695,1771,0,0
top,3480,2,353927,355459,181,353791,16,0,1065101558,1194083328,2,1,0,0,11086,3731,2610,198,0,0
top,15061,0,1094710,1096401,266,1095295,16,0,1065101558,1194083328,2,4,10,10,300778,46871,29263,13630,1779,25046
top,15061,1,1094710,1096583,266,1095295,16,0,1065101558,1194083328,2,1,0,0,28105,2321,1996,1769,0,0
top,27348,0,1881342,1882701,178,1881727,16,0,1065101558,1194083328,2,4,10,10,261842,44198,30991,10922,1426,25014
top,27348,1,1881342,1882828,178,1881727,16,0,1065101558,1194083328,2,1,0,0,32999,6619,2156,1774,0,0
top,27348,2,1881520,1882954,178,1881727,16,0,1065101558,1194083328,2,1,0,0,9931,3759,2063,205,0,0
top,39681,0,2670450,2672007,412,2670847,16,0,1065101558,1194083328,2,4,10,10,299608,52377,30536,9752,1422,27304
top,39681,1,2670867,2672283,417,2670847,16,0,1065101558,1194083328,2,1,0,0,29372,2371,2003,1769,0,0
top,39681,2,2670867,2672559,417,2670847,16,0,1065101558,1194083328,2,1,0,0,7666,2102,1908,205,0,0
top,11748,0,882973,884329,210,882943,16,0,1065101558,1194083328,2,4,10,10,275190,51373,34843,10966,1434,25027
top,11748,1,882973,884468,210,882943,16,0,1065101558,1194083328,2,1,0,0,31992,2975,2756,1783,0,0
top,11748,2,883183,884608,210,883327,16,0,1065101558,1194083328,2,4,10,10,26056,2607,1993,104,308,15920
top,26521,0,1828364,1829775,227,1827967,16,0,1065101558,1194083328,2,4,10,10,267712,44505,28961,13666,1396,24625
top,26521,1,1828606,1829927,233,1829119,16,0,1065101558,1194083328,2,4,10,10,37716,12128,1630,133,296,16258
