set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices,psola_sched_cycles,psola_addgrain_cycles,psola_deferred_cycles,psola_mark_cycles,psola_desc_cycles,psola_near_cycles,psola_poly_cycles,psola_gn_cycles
miss,166799,2490,3401,6567,56659,673285,13078,31483,8299,3,3,0,1077,3,1,450.18,1,0,2,1,0,0,0,3,364903,315557,92243,79418,6170,20407,15384,35554
miss,167070,2275,3018,9207,55743,629914,12747,29391,5379,3,3,0,1405,3,2,438.49,1,0,2,1,0,0,0,3,340439,288024,83655,71293,8929,16239,8680,44751
miss,167630,2554,3416,6363,53159,731590,12956,24727,8343,3,3,0,1195,3,1,509.50,1,0,2,1,0,0,0,3,408013,350316,98896,92891,11627,20645,12655,48892
miss,168167,2783,3617,6467,53934,770374,12659,28211,5491,3,3,0,1209,3,2,593.31,1,0,2,1,0,0,0,3,432457,380543,109424,88619,11903,32114,15643,56796
miss,168317,2419,3340,6383,22459,685042,13031,30407,5375,3,3,0,1269,3,1,442.12,1,0,2,1,0,0,0,3,363167,319055,91820,86222,6222,20597,4539,41922
miss,168732,2396,3157,6479,53195,673058,12623,27535,5371,2,2,0,918,2,1,491.14,1,0,2,1,0,0,0,2,374405,331019,85735,83452,11306,27264,18027,45462
miss,170919,2873,3709,6463,59359,793890,12875,31907,8203,3,3,0,1089,3,1,573.60,1,0,2,1,0,0,0,3,433689,381958,123955,93145,11587,35935,19435,53166
miss,174047,2570,3521,6439,21863,785006,12715,23927,5399,3,3,0,2505,3,1,566.28,1,0,2,1,0,0,0,3,434573,382736,107258,93921,11882,40344,18022,43588
miss,174395,2566,3399,6415,56587,741665,13071,30663,5387,3,3,0,1073,3,1,512.56,1,0,2,1,0,0,0,3,398843,347250,107108,81451,11723,30776,12597,43626
miss,174695,1541,2008,6428,57566,254138,13099,28047,5399,1,1,0,319,1,1,97.09,1,0,2,0,0,0,0,4,99061,85431,53769,36215,298,2525,323,18076
miss,175453,2647,3361,6475,53903,773734,12742,28343,5315,3,3,0,1113,3,1,505.49,1,0,2,1,0,0,0,3,417941,360608,114752,92359,9487,31549,9921,48438
miss,175741,2664,3457,6483,55850,776505,13072,27583,7935,3,3,0,1423,3,1,553.03,1,0,2,1,0,0,0,3,437551,377348,104866,97327,6799,28495,19195,53325
miss,176435,2430,3266,6515,53911,691702,15710,24891,8007,4,4,0,1270,4,2,463.33,1,0,2,1,0,0,0,4,362789,321163,107729,84380,9566,21869,10292,48936
miss,177677,2612,3576,6431,1879,813464,12667,33007,5343,3,3,0,1631,3,1,573.20,1,0,2,1,0,0,0,3,451321,396779,115481,99303,11555,38900,18060,48828
miss,178295,2020,3002,6387,1919,598994,12810,27251,5447,3,3,0,1047,3,2,434.95,1,0,2,1,0,0,0,3,331027,279202,77842,69873,4125,14322,18309,56928
miss,178439,2525,3488,10715,1882,749818,12622,29042,8234,2,2,0,2198,2,1,521.35,1,1,2,1,0,0,0,2,404167,355321,101356,85363,11301,33433,15685,35510
miss,178513,2404,3157,6527,53979,689366,13007,27783,5335,3,3,0,1065,3,1,433.68,1,0,2,1,0,0,0,3,364625,318357,106764,85695,11538,20923,8419,34174
miss,179340,2517,3407,6423,21827,755766,12835,30215,5447,3,3,0,1283,3,1,536.34,1,0,2,1,0,0,0,3,410039,362755,114928,92983,8926,30738,15374,46426
miss,179863,2628,3373,6463,53875,764186,13059,24547,5378,3,3,0,1141,3,1,544.97,1,0,2,1,0,0,0,3,418749,364074,106374,82513,17576,31007,16517,51216
miss,180030,2335,2978,6859,21871,677186,12916,25543,5323,3,3,0,1209,3,1,488.74,1,0,2,1,0,0,0,3,379113,320678,79291,77035,6350,28755,18269,32986
miss,180444,2485,3176,6495,53127,709858,15555,24931,5355,3,3,0,1369,3,1,525.78,1,0,2,1,0,0,0,3,390631,344227,93557,83249,11721,32235,18030,50561
miss,182633,2747,3547,9958,53982,787382,13259,23743,5335,3,3,0,1089,3,1,578.48,1,0,2,1,0,0,0,3,433761,379088,110131,88345,11551,38312,18093,47220
miss,185761,2708,3607,6443,27187,832350,15419,24639,8059,3,3,0,2491,3,1,637.05,1,0,2,1,0,0,0,3,475657,418520,115920,99027,11745,38602,19186,64310
miss,186107,2580,3402,6511,53939,757366,13039,28179,5355,3,3,0,1065,3,1,533.72,1,0,2,1,0,0,0,3,415969,364197,108750,89733,11551,35827,18098,41850
miss,187170,2625,3414,6507,59323,764958,12930,24438,5367,3,3,0,1111,3,1,535.13,1,0,2,1,0,0,0,3,402909,351162,115682,84691,8894,30344,12700,44302
miss,187458,2718,3452,6399,56656,791289,18839,25943,5247,3,3,0,1419,3,1,560.82,1,0,2,1,0,0,0,3,423979,374919,111743,96003,9038,35977,18195,43696
miss,188149,2485,3326,6471,54067,711302,13079,30255,5343,3,3,0,955,3,1,430.51,1,0,2,1,0,0,0,3,382103,332946,105666,100535,11984,25699,9926,35500
miss,188858,2696,3552,6555,54171,774110,12695,27307,5275,3,3,0,1019,3,1,543.10,1,0,2,1,0,0,0,3,415385,366083,107363,93841,9470,30484,15369,48738
miss,189133,2342,3104,6450,53047,666378,12886,24862,5375,3,3,0,1745,3,1,439.01,1,1,2,1,0,0,0,3,355489,316592,103513,81831,9068,25597,12658,31450
miss,189677,2514,3367,6483,53080,729465,13148,24131,8067,3,3,0,1227,3,1,491.05,1,0,2,1,0,0,0,3,387133,340890,114254,88941,11733,25078,12677,45032
miss,189965,2489,3327,11567,53199,713046,12707,27875,5328,3,3,0,1077,3,1,510.08,1,0,2,1,0,0,0,3,390139,343779,103452,80883,11709,31957,15360,41124
miss,190483,2497,3409,6415,1895,775886,12767,25731,5427,3,3,0,1605,3,1,601.71,1,0,2,1,0,0,0,3,441691,387271,104805,90609,11704,35415,19183,51977
miss,190902,2557,3389,6530,56711,748009,13263,24395,5367,3,3,0,1263,3,2,594.40,1,0,2,1,0,0,0,3,431279,387150,101655,95221,11620,31866,14100,65226
miss,191604,2507,3241,6423,53919,731310,12682,24784,5415,3,3,0,1109,3,1,497.41,1,0,2,1,0,0,0,3,391687,345169,112020,84603,14402,20039,15374,44744
miss,192779,2695,3588,6491,55922,785742,12654,33127,5310,3,3,0,1391,3,1,578.81,1,0,2,1,0,0,0,3,437623,383125,109141,91287,11703,33067,15345,51906
miss,194213,2470,3476,6355,1899,771966,12851,23623,5199,2,2,0,1084,2,1,542.84,1,0,2,1,0,0,0,2,427903,379248,96840,100058,11325,31140,19466,46400
miss,194833,1936,2854,6419,1887,576178,12827,24095,5443,3,3,0,1047,3,1,361.78,1,0,2,1,0,0,0,3,294005,255568,90272,80511,8905,7580,11076,20662
miss,194976,2304,3241,6423,1887,698545,12782,30399,5511,2,2,0,2206,2,1,465.72,1,0,2,1,0,0,0,2,385235,339153,86671,89002,5934,28144,15378,39466
miss,195050,2505,3270,6467,61975,707206,16182,32463,5179,3,3,0,1065,3,1,429.34,1,0,2,1,0,0,0,3,368711,319650,124528,95501,11860,18508,12658,39336
miss,195879,2748,3641,6443,24571,787522,12871,24943,8135,3,3,0,1279,3,1,526.06,1,0,2,1,0,0,0,3,403135,348524,145345,81799,8915,28652,15374,45196
miss,196007,1457,1921,6418,64578,232588,12862,25819,5427,1,1,0,419,1,0,39.57,0,0,2,0,0,0,0,4,85951,59035,47888,35413,316,3501,0,0
miss,196399,2616,3465,6522,53939,754701,13028,26639,10871,3,3,0,1103,3,1,517.64,1,0,2,1,0,0,0,3,422073,372885,104934,102609,11654,23239,19194,43538
miss,196568,2259,3197,6503,22168,659046,12871,28135,5363,3,3,0,1229,3,1,447.38,1,0,2,1,0,0,0,3,347939,303650,85593,73177,9015,12949,15301,43398
miss,196980,2485,3261,6503,53107,716645,12695,25851,8343,3,3,0,1395,3,1,447.22,1,0,2,1,0,0,0,3,394917,337291,101019,96205,11526,23380,12646,39348
miss,199170,2810,3586,6483,60531,811682,13055,35007,9491,3,3,0,1869,3,2,622.33,1,0,2,1,0,0,0,3,460457,405746,112588,91547,11757,33832,18338,69280
miss,202299,2701,3538,6495,21807,833174,12879,27627,5315,3,3,0,2491,3,1,592.14,1,0,2,1,0,0,0,3,446353,394373,118163,91139,11575,38072,18066,55244
miss,202644,2531,3260,6419,53883,736074,12651,25183,5555,3,3,0,1065,3,1,511.19,1,0,2,1,0,0,0,3,407273,350348,104223,90343,11577,27897,11109,48686
miss,203705,2599,3416,6507,53923,761758,12803,24611,5323,3,3,0,1113,3,1,523.49,1,0,2,1,0,0,0,3,410407,358778,118364,87553,11682,30892,15368,46378
miss,203994,2572,3311,6419,56631,741006,15582,25027,8055,3,3,0,1419,3,1,543.21,1,0,2,1,0,0,0,3,407357,358214,99994,88115,6898,31580,12611,51332
miss,204689,2541,3361,6511,53918,733586,13187,27659,5431,3,3,0,951,3,2,518.99,1,0,2,1,0,0,0,3,402181,353035,104980,87351,11573,32223,12949,52784
miss,205397,2607,3478,6471,56518,765622,12779,23795,5342,3,3,0,1015,3,1,571.18,1,0,2,1,0,0,0,3,428227,373717,99921,93757,11712,38334,18058,50192
miss,205670,1864,1983,9175,53155,490070,12923,24647,5407,1,1,0,579,1,1,451.98,1,1,2,1,0,0,0,1,242673,229115,87056,4181,10986,25854,11133,48604
miss,206214,2581,3382,6463,53084,759094,13200,24198,8079,3,3,0,1227,3,1,523.81,1,0,2,1,0,0,0,3,415509,361342,105681,93969,11843,25853,18028,46174
miss,206503,2611,3404,6575,55959,711634,12722,25186,5427,3,3,0,1077,3,1,501.87,1,0,2,1,0,0,0,3,398509,341405,96263,86213,8867,20875,19291,49313
